output_column,approved_source_table,source_fields,business_meaning,calculation,grouping_grain,filter_conditions,validation_method
ASIN,public.ph_cate_products (assignment) / public.order_transaction (activity),ref_id / asin,Product identifier and row key,N/A (identity),one row per ASIN,which_channel=1; assigned to utharsika via public.user->public.ph_categories->public.ph_cate_products,Live COUNT(DISTINCT ref_id) reconciled against HTML ASIN list - see assigned_asin_reconciliation.csv
Image,public.listing_data,ref_id; id; main_image_url; which_channel; market_place; wrong_sku,Product visual identification (replaces SKU column),Lowest listing_data.id among valid non-blank-image rows for the ASIN,one selected image per ASIN,which_channel=1; market_place='UK'; wrong_sku=0; main_image_url IS NOT NULL AND BTRIM(main_image_url)<>'',Live ROW_NUMBER() OVER (PARTITION BY ref_id ORDER BY id ASC)=1 reconciled against HTML image_url - see image_reconciliation.csv
FBM Sales / FBA Sales,public.order_transaction,asin; order_date; item_price; quantity; fba_sales; order_status; source_name; market_place,Fulfilled-by-Merchant / Fulfilled-by-Amazon revenue,SUM(item_price*quantity) split by fba_sales flag (FALSE/blank=FBM; TRUE=FBA),per (date,ASIN),source_name='AMAZON'; market_place='UK'; order_status dynamic-included; date in [2025-01-01,2026-07-14],Live per-ASIN SUM reconciled against embedded HTML daily_aggregates_asin - see asin_sales_reconciliation.csv
FBM Orders / FBA Orders,public.order_transaction,asin; order_date; order_item_info; fba_sales; order_status; source_name; market_place,Order count aggregated at ASIN level,COUNT(DISTINCT order_item_info) grouped directly by (date,ASIN) split by fba_sales flag,per (date,ASIN),source_name IN ('AMAZON','REPLACEMENT'); market_place='UK'; order_status dynamic-included; date in [2025-01-01,2026-07-14],Live per-ASIN COUNT(DISTINCT) reconciled against embedded HTML daily_aggregates_asin - see asin_orders_reconciliation.csv
FBM Quantity / FBA Quantity,public.order_transaction,asin; order_date; quantity; fba_sales; order_status; source_name; market_place,Units sold aggregated at ASIN level,SUM(quantity) split by fba_sales flag,per (date,ASIN),source_name IN ('AMAZON','REPLACEMENT'); market_place='UK'; order_status dynamic-included; date in [2025-01-01,2026-07-14],Live per-ASIN SUM reconciled against embedded HTML daily_aggregates_asin - see asin_quantity_reconciliation.csv
Vendor Sales,public.vendor_sales,asin; start_time; end_time; ordered_revenue,Amazon Vendor Central wholesale revenue - one row per ASIN per reporting window,SUM(ordered_revenue) for periods overlapping the report date range (no proration),per ASIN (all overlapping periods summed once),period overlaps [2025-01-01,2026-07-14]; assigned ASIN scope,Live per-ASIN SUM reconciled against embedded HTML vendor_periods - see vendor_reconciliation.csv
Vendor Units,public.vendor_sales,asin; start_time; end_time; ordered_units,Amazon Vendor Central wholesale unit count,SUM(ordered_units) for periods overlapping the report date range (no proration),per ASIN,period overlaps [2025-01-01,2026-07-14]; assigned ASIN scope,Live per-ASIN SUM reconciled against embedded HTML vendor_periods - see vendor_reconciliation.csv
Total Sales,derived (FBM Sales + FBA Sales + Vendor Sales),N/A,ASIN-level revenue across all channels,FBM Sales + FBA Sales + Vendor Sales,per ASIN,N/A (arithmetic identity in uawso_client_engine.js computeRowsV5),Verified structurally in computeRowsV5 (totalSales=cySales=fbmSales+fbaSales+vendorSales) - see total_kpi_formula_validation.csv
Total Orders,derived (FBM Orders + FBA Orders),N/A,ASIN-level order count; Vendor has no order-level key so Vendor Orders=N/A,FBM Orders + FBA Orders,per ASIN,N/A (arithmetic identity),Verified structurally in computeRowsV5 (totalOrders=cyOrders=fbmOrders+fbaOrders) - see total_kpi_formula_validation.csv
Total Quantity,derived (FBM Quantity + FBA Quantity + Vendor Units),N/A,ASIN-level unit count across all channels,FBM Quantity + FBA Quantity + Vendor Units,per ASIN,N/A (arithmetic identity),Verified structurally in computeRowsV5 (totalQuantity=cyQuantity=fbmQuantity+fbaQuantity+vendorUnits) - see total_kpi_formula_validation.csv
